Station - Device Operation	date time	Device	Device Code	Action	Comment (Station)	Comment (Device Operation)	Comment (Action)	Expedition Status	Latitude	Longitude	Depth (m)	Speed (kn)	Course	Wind Dir	Wind Velocity	Winch	Rope Length (m)
M161_178-1	2020/02/11 13:55:05	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.927' N	057° 14.702' W	5173	1	342.8	74.0	11.9	02	800
M161_178-1	2020/02/11 14:16:20	CTD	CTD	on deck				started	14° 10.924' N	057° 14.702' W	5174	2	28.0	75.0	10.4	02	0
M161_179-1	2020/02/11 16:24:49	CTD	CTD	in the water			W2, clean ship	started	14° 10.927' N	057° 14.701' W	5173	1	215.4	65.0	10.5	02	0
M161_179-1	2020/02/11 16:44:04	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.927' N	057° 14.701' W	5172	2	360.0	73.0	10.5	02	800
M161_179-1	2020/02/11 17:05:13	CTD	CTD	on deck				started	14° 10.925' N	057° 14.701' W	5172	1	38.9	69.0	9.4	02	0
M161_180-1	2020/02/11 18:19:47	CTD	CTD	in the water			W2, clean ship	started	14° 10.929' N	057° 14.705' W	5170	1	30.9	67.0	10.0	02	0
M161_180-1	2020/02/11 18:38:46	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.928' N	057° 14.704' W	5172	1	113.8	74.0	10.7	02	800
M161_180-1	2020/02/11 18:57:21	CTD	CTD	on deck				started	14° 10.931' N	057° 14.705' W	5172	1	5.1	83.0	10.7	02	0
M161_181-1	2020/02/12 12:32:06	CTD	CTD	in the water			W2, clean ship	started	12° 25.130' N	057° 14.701' W	4494	1	315.9	75.0	10.0	02	0
M161_181-1	2020/02/12 12:52:45	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.128' N	057° 14.702' W	4495	0	200.5	73.0	11.0	02	800
M161_181-1	2020/02/12 13:12:37	CTD	CTD	on deck				started	12° 25.130' N	057° 14.700' W	4493	1	68.0	80.0	9.4	02	0
M161_182-1	2020/02/12 15:57:13	CTD	CTD	in the water			W2, clean ship	started	12° 25.148' N	056° 59.370' W	4452	1	236.2	80.0	10.7	02	0
M161_182-1	2020/02/12 16:15:24	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.149' N	056° 59.369' W	4452	1	28.6	83.0	10.0	02	800
M161_182-1	2020/02/12 16:33:17	CTD	CTD	on deck				started	12° 25.147' N	056° 59.369' W	4450	1	104.4	83.0	10.8	02	0
M161_183-1	2020/02/12 18:35:17	CTD	CTD	in the water			W2, clean ship	started	12° 25.126' N	056° 44.011' W	4433	1	93.4	56.0	11.0	02	0
M161_183-1	2020/02/12 18:54:15	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.126' N	056° 44.011' W	4437	0	163.1	68.0	12.1	02	800
